                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.52187,                0.28137,                0.92045,                0.99963,                      1,                  0.995,                0.84582,                0.68172,                0.28692,                 0.9749,               0.000218,               0.000218,               0.000218
                     92,                0.52855,                0.27118,                0.92361,                0.99965,                      1,                  0.995,                0.84114,                0.62008,                0.27468,                0.96143,              0.0001982,              0.0001982,              0.0001982
                     93,                0.52865,                0.26998,                0.91346,                 0.9997,                      1,                  0.995,                0.84327,                0.61981,                0.26889,                0.95704,              0.0001784,              0.0001784,              0.0001784
                     94,                0.52957,                 0.2678,                0.91334,                 0.9997,                      1,                  0.995,                 0.8368,                0.62875,                0.27266,                0.96826,              0.0001586,              0.0001586,              0.0001586
                     95,                0.51388,                0.26271,                0.91649,                0.99971,                      1,                  0.995,                0.85134,                0.62569,                0.27301,                 0.9551,              0.0001388,              0.0001388,              0.0001388
                     96,                0.49745,                 0.2551,                0.90693,                0.99972,                      1,                  0.995,                0.84989,                0.61541,                0.27083,                0.95466,               0.000119,               0.000119,               0.000119
                     97,                0.50114,                0.25434,                0.90715,                0.99972,                      1,                  0.995,                0.84998,                0.62204,                0.26901,                0.95622,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.49601,                0.25516,                0.89884,                0.99972,                      1,                  0.995,                0.84784,                0.62636,                0.26669,                  0.958,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.48793,                0.24674,                0.89922,                0.99974,                      1,                  0.995,                0.84806,                0.62236,                0.26608,                0.95895,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.49706,                0.24952,                0.92174,                0.99974,                      1,                  0.995,                0.84784,                0.61949,                0.26294,                0.95919,               3.98e-05,               3.98e-05,               3.98e-05
